Naziv;Kolicina;Cena stavke
Prelazna guma fi 75;1;101
PVC klizna spojka fi 75;2;246.78
Rezna ploča 125 mm;2;123.2
Pocinkovana cev fi 2;2;1200
Klizna spojnica fi 2;1;3716
PVC redukcija fi 200/160;0;896.87
PVC redukcija fi 160/125;0;413.56
Prelazna guma fi 160;1;180
PVC cev fi 125/1000;2;535.01
PVC cev fi 125/500;1;284.93
PVC cev fi 125/250;2;173.69
PVC račva-T fi 125/125;1;527.46
PVC luk fi 125/45;0;307.68
PVC luk fi 125/90;1;307.68
PVC cev fi 110/2000;1;790.36
PVC luk fi 110/90;2;191.81
LG prelaz fi 110;1;1485
PVC klizna spojka fi 110;2;281.89
Prelazna guma fi 110;2;113
Kugla ventil fi 5/4;1;1488.8
Klizna spojnica fi 5/4;1;1588
Pocinkovani dupli nipl fi 5/4;2;120.2
Virbla za propusni ventil fi 5/4;2;1411
PVC cev fi 110/1000;1;395.28
PVC cev fi 110/500;1;225.99
PVC cev fi 110/250;1;133.87
LG prelaz fi 110;1;1485
PVC luk fi 110/90;1;191.81
Prelazna guma fi 110;2;113
PVC klizna spojka fi 110;2;281.89
Pocinkovana cev fi 2;3;1200
Pocinkovano koleno fi 2;1;416.8
Pocinkovani dupli nipl fi 2;1;270.9
Klizna spojnica fi 2;0;3716
Pocinkovani holender fi 2;1;827.3
Kugla ventil fi 2;1;2715
Kugla ventil fi 5/4;1;1488.8
Pocinkovani holender fi 5/4;1;405.1
Pocinkovani dupli nipl fi 5/4;0;120.2
Pocinkovana cev fi 5/4;1;907
Rezna ploča 125 mm;3;123.2
Kudelja - 100 gr;1;145
PVC cev fi 160/1000;4;879.43
PVC cev fi 160/500;0;527.62
PVC cev fi 160/250;2;317.27
PVC kosa  račva-T fi 160/160;2;1365.96
PVC luk fi 160/90;0;760.33
PVC klizna spojka fi 160;0;489.36
PVC revizija fi 160;1;1629
LG prelaz fi 160;1;2220
Prelazna guma fi 160;2;180
Gajger slivnik fi 110;3;0
PVC cev fi 110/1000;0;395.28
PVC cev fi 110/500;2;225.99
PVC cev fi 110/250;6;133.87
PVC luk fi 110/90;2;191.81
PVC luk fi 110/45;4;191.81
PVC redukcija fi 125/110;1;221.52
Prelazna guma fi 110;3;113
PVC cev fi 110/2000;1;790.36
PVC cev fi 110/1000;1;395.28
PVC revizija fi 110;1;329.03
HL prelaz fi 110;1;3979
PVC klizna spojka fi 110;2;281.89
Pocinkovana cev fi 2 1/2;5;1335
Pocinkovano koleno fi 2 1/2;1;731.4
Klizna spojnica fi 2 1/2;3;4402
Pocinkovani T-komad fi 2 1/2;1;1112.7
Pocinkovani dupli nipl fi 2 1/2;2;452.2
Klizna spojnica fi 5/4;1;1588
Pocinkovani dupli nipl fi 5/4;2;120.2
Pocinkovani muf fi 5/4;1;145.4
Kugla ventil fi 5/4;3;1488.8
Pocinkovani holender fi 5/4;3;405.1
Pocinkovani dupli nipl fi 5/4;5;120.2
Pocinkovani muf fi 5/4;0;145.4
Pocinkovana cev fi 2;2;1200
Pocinkovani dupli nipl fi 2;1;270.9
Klizna spojnica fi 2;1;3716
Pocinkovani muf fi 2;1;295.9
Kugla ventil fi 1;0;918.8
Kugla ventil fi 5/4;0;1488.8
Klizna spojnica fi 5/4;0;1588
Klizna spojnica fi 1;0;964
Pocinkovani dupli nipl fi 5/4;0;120.2
Pocinkovani dupli nipl fi 1;0;83.4
Pocinkovano koleno fi 5/4;0;193.8
Pocinkovana cev fi 5/4;0;907
Rezna ploča 125 mm;2;123.2
Pocinkovana cev fi 5/4;3;907
Pocinkovani muf fi 5/4;3;145.4
Klizna spojnica fi 5/4;2;1588
Pocinkovani dupli nipl fi 5/4;3;120.2
PVC kosa  račva-T fi 75/50;1;137.1
PVC cev fi 75/500;2;188.25
PVC klizna spojka fi 75;2;246.78
PVC cev fi 75/250;1;116.74
Pocinkovana cev fi 2 1/2;4;1335
Pocinkovano koleno fi 2 1/2;1;731.4
Klizna spojnica fi 2 1/2;3;4402
Pocinkovani T-komad fi 2 1/2;1;1112.7
Pocinkovani dupli nipl fi 2 1/2;2;452.2
Rezna ploča 125 mm;2;123.2
Kudelja - 100 gr;1;145
Pocinkovana cev fi 2;10;1200
Pocinkovani dupli nipl fi 2;4;270.9
Pocinkovano koleno fi 2;4;416.8
Pocinkovani muf fi 2;5;295.9
Kugla ventil fi 2;1;2715
Hidrantski ventil fi 2;1;1
Pocinkovani holender fi 2;1;827.3
Rezna ploča 230 mm;2;290
PVC kosa  račva-T fi 160/125;1;877.41
PVC cev fi 125/1000;3;535.01
PVC luk fi 125/45;2;307.68
PVC revizija fi 125;1;400
LG prelaz fi 125;1;1595
PVC cev fi 125/500;2;284.93
PVC cev fi 160/1000;8;879.43
PVC cev fi 160/2000;1;1710
PVC redukcija fi 200/160;2;896.87
Prelazna guma fi 125;2;170
PVC luk fi 160/45;0;760.3
PVC luk fi 160/90;1;760.33
Prelazna guma fi 160;0;180
LG prelaz fi 160;1;2220
Pocinkovana cev fi 1;1;619
Pocinkovano koleno fi 1;1;129.9
Pocinkovani dupli nipl fi 1;2;83.4
Pocinkovana redukcija 6/4-1;1;151.2
Klizna spojnica fi 1;1;964
Pocinkovani holender fi 1;1;261.7
Kugla ventil fi 1;1;918.8
Kugla ventil fi 2;1;2715
Kugla ventil fi 6/4;1;2212.3
Pocinkovani dupli nipl fi 2;3;270.9
Pocinkovani dupli nipl fi 6/4;3;184.2
Pocinkovani T-komad fi 2;1;521
Pocinkovana redukcija 2-3/4;1;222.4
Kugla ventil fi 3/4;1;571.8
Pocinkovani dupli nipl fi 3/4;2;58.6
Pocinkovani holender fi 2;1;827.3
Pocinkovani holender fi 6/4;1;536.9
Klizna spojnica fi 2;1;3716
Klizna spojnica fi 6/4;1;2650
Pocinkovana cev fi 2;5.5;1200
Pocinkovano koleno fi 2;1;416.8
Klizna spojnica fi 2;2;3716
Pocinkovani T-komad fi 2;1;521
Pocinkovani dupli nipl fi 2;2;270.9
Pocinkovana redukcija 2-5/4;1;222.4
PVC cev fi 160/2000;2;1710
PVC cev fi 160/1000;0;879.43
PVC cev fi 160/500;2;527.62
PVC cev fi 160/250;0;317.27
PVC kosa  račva-T fi 160/160;1;1365.96
PVC luk fi 160/45;2;760.3
PVC revizija fi 160;0;1629
PVC klizna spojka fi 160;1;489.36
PVC klizna spojka fi 200 ;1;848.88
PVC redukcija fi 200/160;3;896.87
Klizna spojnica fi 5/4;1;1588
Pocinkovani dupli nipl fi 5/4;1;120.2
Pocinkovana redukcija 5/4-1/2;1;129.9
PPR muf fi 20-SN;1;275
PPR muf fi 20;0;18.35
PPR cev fi 20;1;122
Pocinkovani holender fi 1/2;1;191.9
Pocinkovani dupli nipl fi 1/2;2;44.6
Pocinkovani T-komad fi 5/4;1;252
Rezna ploča 125 mm;3;123.2
PVC cev fi 110/2000;1;790.36
PVC cev fi 110/1000;2;395.28
PVC cev fi 110/500;1;225.99
PVC cev fi 110/250;0;133.87
PVC cev fi 125/500;0;284.93
PVC revizija fi 110;2;329.03
PVC luk fi 110/45;2;191.81
PVC kosa  račva-T fi 110/75;0;258.24
PVC luk fi 75/45;0;85.09
PVC cev fi 75/250;1;116.74
Prelazna guma fi 110;2;113
LG prelaz fi 110;1;1485
PVC klizna spojka fi 110;0;281.89
Sikafleks;1;961.54
Rezna ploča 125 mm;3;123.2
PVC klizna spojka fi 75;1;246.78
HL prelaz fi 110;1;3979
PVC cev fi 160/1000;0;879.43
PVC cev fi 160/500;0;527.62
LG prelaz fi 160;0;2220
Prelazna guma fi 160;0;180
PVC luk fi 160/45;0;760.3
PVC luk fi 160/90;0;760.33
PVC klizna spojka fi 160;0;489.36
Pocinkovana cev fi 6/4;2;1094
Pocinkovana cev fi 5/4;2;907
Pocinkovani dupli nipl fi 6/4;2;184.2
Pocinkovani dupli nipl fi 5/4;2;120.2
Kugla ventil fi 6/4;1;2212.3
Kugla ventil fi 5/4;1;1488.8
Pocinkovani holender fi 6/4;1;536.9
Pocinkovani holender fi 5/4;1;405.1
Klizna spojnica fi 6/4;1;2650
Klizna spojnica fi 5/4;1;1588
Virbla za propusni ventil fi 6/4;2;2134
Virbla za propusni ventil fi 1;2;1074
Pocinkovana cev fi 6/4;3;1094
Pocinkovani T-komad fi 6/4;3;323.7
Pocinkovana redukcija 6/4-3/4;2;151.2
Pocinkovani dupli nipl fi 3/4;2;58.6
Pocinkovana redukcija 6/4-1/2;1;151.2
Klizna spojnica fi 6/4;3;2650
PVC cev fi 160/2000;1;1710
PVC cev fi 160/1000;1;879.43
PVC cev fi 160/500;2;527.62
PVC luk fi 160/45;1;760.3
Prelazna guma fi 160;1;180
Sikafleks;1;961.54
PVC cev fi 110/1000;2;395.28
PVC cev fi 110/500;2;225.99
PVC kosa  račva-T fi 110/110;1;349.21
PVC luk fi 110/45;2;191.81
PVC luk fi 110/90;1;191.81
PVC klizna spojka fi 110;2;281.89
Map gas;1;688
Sikafleks;1;961.54
LG prelaz fi 110;0;1485
HL prelaz fi 110;1;3979
Prelazna guma fi 110;1;113
PVC cev fi 110/1000;4;395.28
PVC cev fi 110/500;3;225.99
PVC cev fi 110/250;6;133.87
PVC klizna spojka fi 110;4;281.89
LG prelaz fi 110;2;1485
Prelazna guma fi 110;4;113
HL prelaz fi 110;1;3979
Map gas;1;688
Sikafleks;1;961.54
Kugla ventil fi 1;1;918.8
Pocinkovana cev fi 1;2;619
Pocinkovano koleno fi 1;2;129.9
Pocinkovani dupli nipl fi 1;2;83.4
Klizna spojnica fi 1;1;964
Pocinkovana redukcija 5/4-1;0;129.9
Kugla ventil fi 1;1;918.8
Pocinkovani dupli nipl fi 1;2;83.4
Klizna spojnica fi 1;0;964
Pocinkovana cev fi 1;2;619
Pocinkovana redukcija 6/4-1;0;151.2
Pocinkovani holender fi 1;0;261.7
Pocinkovana cev fi 5/4;2;907
Pocinkovana redukcija 6/4-5/4;0;151.2
Pocinkovani holender fi 5/4;0;405.1
Kugla ventil fi 5/4;1;1488.8
Pocinkovani T-komad fi 5/4;0;252
Pocinkovani dupli nipl fi 5/4;0;120.2
Pocinkovana redukcija 5/4-1/2;0;129.9
Pocinkovani holender fi 1/2;0;191.9
Pocinkovani dupli nipl fi 1/2;0;44.6
Pocinkovano koleno fi 1;0;129.9
Pocinkovani muf fi 1;1;102.8
Pocinkovani muf fi 1/2;0;44.6
Pocinkovana cev fi 1/2;1;200
Pocinkovani dupli nipl fi 5/4;10;120.2
Kugla ventil fi 5/4;5;1488.8
Pocinkovani holender fi 5/4;5;405.1
Pocinkovana cev fi 5/4;7.5;907
Kudelja - 100 gr;2;145
Pocinkovana cev fi 5/4;0.5;907
Klizna spojnica fi 5/4;1;1588
Pocinkovani muf fi 5/4;0;145.4
Prelazna guma fi 110;2;113
PVC cev fi 110/1000;2;395.28
PVC cev fi 110/500;1;225.99
PVC cev fi 110/250;1;133.87
PVC klizna spojka fi 110;1;281.89
LG prelaz fi 110;1;1485
Sikafleks;1;961.54
LG prelaz fi 110;1;1485
HL prelaz fi 110;1;3979
