 79 ; 80.01.02.034 ;" Zamena pocinkovanog kolena 2 1/2"" "; kom ;0,00;5.186,00;60;0,00; 328637 ;5.186,00;3889,5;3111,6;2.852,30;Zamena
 80 ; 80.01.02.035 ;" Zamena pocinkovanog kolena 3"" "; kom ;0,00;6.255,00;40;0,00; 328638 ;6.255,00;4691,25;3753;3.440,25;Zamena
 81 ; 80.01.02.036 ;" Demontaža pocinkovanog teštika 1/2"" "; kom ;0,00;478,00;400;0,00; 328639 ;478,00;358,5;286,8;262,90;Zamena
 82 ; 80.01.02.037 ;" Demontaža pocinkovanog teštika 3/4"" "; kom ;0,00;478,00;300;0,00; 328640 ;478,00;358,5;286,8;262,90;Zamena
 83 ; 80.01.02.038 ;" Demontaža pocinkovanog teštika 1"" "; kom ;0,00;578,00;200;0,00; 328641 ;578,00;433,5;346,8;317,90;Zamena
 84 ; 80.01.02.039 ;" Demontaža pocinkovanog teštika 5/4"" "; kom ;0,00;578,00;100;0,00; 328642 ;578,00;433,5;346,8;317,90;Zamena
 85 ; 80.01.02.040 ;" Demontaža pocinkovanog teštika 6/4"" "; kom ;0,00;716,00;100;0,00; 328643 ;716,00;537;429,6;393,80;Zamena
 86 ; 80.01.02.041 ;" Demontaža pocinkovanog teštika 2"" "; kom ;0,00;910,00;100;0,00; 328644 ;910,00;682,5;546;500,50;Zamena
 87 ; 80.01.02.042 ;" Demontaža pocinkovanog teštika 2 1/2"" "; kom ;0,00;1.306,00;30;0,00; 328645 ;1.306,00;979,5;783,6;718,30;Zamena
 88 ; 80.01.02.043 ;" Demontaža pocinkovanog teštika 3"" "; kom ;0,00;1.527,00;60;0,00; 328646 ;1.527,00;1145,25;916,2;839,85;Zamena
 89 ; 80.01.02.044 ;" Nabavka i ugradnja pocinkovanog teštika 1/2"" "; kom ;0,00;1.156,00;400;0,00; 328647 ;647,00;485,25;693,6;635,80;Zamena
 90 ; 80.01.02.045 ;" Nabavka i ugradnja pocinkovanog teštika 3/4"" "; kom ;0,00;1.189,00;300;0,00; 328648 ;673,00;504,75;713,4;653,95;Zamena
 91 ; 80.01.02.046 ;" Nabavka i ugradnja pocinkovanog teštika 1"" "; kom ;0,00;1.455,00;200;0,00; 328649 ;758,00;568,5;873;800,25;Zamena
 92 ; 80.01.02.047 ;" Nabavka i ugradnja pocinkovanog teštika 5/4"" "; kom ;0,00;1.549,00;100;0,00; 328650 ;1.048,00;786;929,4;851,95;Zamena
 93 ; 80.01.02.048 ;" Nabavka i ugradnja pocinkovanog teštika 6/4"" "; kom ;0,00;1.910,00;100;0,00; 328651 ;1.158,00;868,5;1146;1.050,50;Zamena
 94 ; 80.01.02.049 ;" Nabavka i ugradnja pocinkovanog teštika 2"" "; kom ;0,00;2.471,00;100;0,00; 328652 ;1.261,00;945,75;1482,6;1.359,05;Zamena
 95 ; 80.01.02.050 ;" Nabavka i ugradnja pocinkovanog teštika 2 1/2"" "; kom ;0,00;3.880,00;60;0,00; 328653 ;2.164,00;1623;2328;2.134,00;Zamena
 96 ; 80.01.02.051 ;" Nabavka i ugradnja pocinkovanog teštika 3"" "; kom ;0,00;4.728,00;40;0,00; 328654 ;2.488,00;1866;2836,8;2.600,40;Zamena
 97 ; 80.01.02.056 ;" Zamena pocinkovanog mufa 1/2"" "; kom ;0,00;1.598,00;60;0,00; 328655 ;1.598,00;1198,5;958,8;878,90;Zamena
