Broj Fakture;Datum PDV;Iznos/Osnovica;Penal;PDV;Iznos sa penalom i PDV;PG Iznos/Osnovica;PG PDV;PG Penal;PG Iznos sa PDVom;Vrsta Naloga
GS-1323/2026;04.02.2026;15300.00;0.00;3060.00;18360.00;10327.50;2065.50;0.00;12393.00;NEODLOZNO
GS-1351/2026;04.02.2026;15000.00;0.00;3000.00;18000.00;10125.00;2025.00;0.00;12150.00;NEODLOZNO
GS-1321/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1449/2026;04.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1357/2026;04.02.2026;2300.00;0.00;460.00;2760.00;1552.50;310.50;0.00;1863.00;NEODLOZNO
GS-1358/2026;04.02.2026;83577.60;0.00;16715.52;100293.12;56414.88;11282.98;0.00;67697.86;NEODLOZNO
GS-1394/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1310/2026;04.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1359/2026;04.02.2026;34100.00;0.00;6820.00;40920.00;23017.50;4603.50;0.00;27621.00;NEODLOZNO
GS-1353/2026;04.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1420/2026;04.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1451/2026;04.02.2026;14220.00;0.00;2844.00;17064.00;9598.50;1919.70;0.00;11518.20;NEODLOZNO
GS-1318/2026;04.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1350/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1361/2026;04.02.2026;9000.00;0.00;1800.00;10800.00;6075.00;1215.00;0.00;7290.00;NEODLOZNO
GS-1355/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1462/2026;04.02.2026;48300.00;0.00;9660.00;57960.00;32602.50;6520.50;0.00;39123.00;NEODLOZNO
GS-1311/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1317/2026;04.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1400/2026;04.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1344/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1354/2026;04.02.2026;13469.20;0.00;2693.84;16163.04;9091.71;1818.34;0.00;10910.05;NEODLOZNO
GS-1401/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1402/2026;04.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
