Broj naloga;Mesec;Radna Jedinica;Tip;Iznos
1741784;Februar 2024;STARI GRAD;SAJLA;16220.00
1741785;Februar 2024;NOVI BEOGRAD;SAJLA;9220.00
1741786;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741787;Februar 2024;ZVEZDARA;ZAMENA;216533.00
1741788;Februar 2024;STARI GRAD;WOMA;5000.00
1741789;Februar 2024;SAVSKI VENAC;LOKALNO;6900.00
1741790;Februar 2024;PALILULA;SAJLA;16410.00
1741791;Februar 2024;ČUKARICA;KOPANJE;697821.40
1741792;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741793;Februar 2024;ČUKARICA;ZAMENA;26140.00
1741798;Februar 2024;NOVI BEOGRAD;SAJLA;9220.00
1741799;Februar 2024;VOŽDOVAC;WOMA;44700.00
1741802;Februar 2024;VOŽDOVAC;WOMA;25500.00
1741806;Februar 2024;ZVEZDARA;SAJLA;8300.00
1741810;Februar 2024;VRAČAR;ZAMENA;21700.00
1741812;Februar 2024;ČUKARICA;ZAMENA;19320.00
1741813;Februar 2024;NOVI BEOGRAD;ZAMENA;24140.00
1741814;Februar 2024;VOŽDOVAC;LOKALNO;6900.00
1741815;Februar 2024;ZVEZDARA;ZAMENA;23040.00
1741817;Februar 2024;STARI GRAD;WOMA;38900.00
1741818;Februar 2024;ZEMUN;KOPANJE;710862.00
1741819;Februar 2024;ZEMUN;ZAMENA;267989.00
1741820;Februar 2024;NOVI BEOGRAD;SAJLA;19220.00
1741821;Februar 2024;NOVI BEOGRAD;SAJLA;12440.00
1741822;Februar 2024;ZEMUN;ZAMENA;238593.20
1741823;Februar 2024;PALILULA;LOKALNO;9200.00
1741824;Februar 2024;ČUKARICA;ZAMENA;12133.00
1741825;Februar 2024;ZEMUN;LOKALNO;6900.00
1741828;Februar 2024;ČUKARICA;LOKALNO;2300.00
1741829;Februar 2024;PALILULA;SAJLA;14220.00
1741830;Februar 2024;ZEMUN;KOPANJE;955500.5499999999
1741831;Februar 2024;ZVEZDARA;ZAMENA;27204.00
1741832;Februar 2024;ČUKARICA;KOPANJE;1017182.00
1741833;Februar 2024;ČUKARICA;KOPANJE;42192.80
1741835;Februar 2024;ZEMUN;ZAMENA;50510.00
1741837;Februar 2024;ZEMUN;ZAMENA;310355.10
1741838;Februar 2024;NOVI BEOGRAD;SAJLA;19220.00
1741839;Februar 2024;ZEMUN;ZAMENA;129243.00
1741842;Februar 2024;NOVI BEOGRAD;WOMA;38900.00
1741843;Februar 2024;RAKOVICA;SAJLA;18710.00
1741844;Februar 2024;ČUKARICA;SAJLA;10140.00
1741846;Februar 2024;ZVEZDARA;ZAMENA;25282.00
1741847;Februar 2024;RAKOVICA;WOMA;5000.00
1741848;Februar 2024;STARI GRAD;SAJLA;16220.00
1741849;Februar 2024;VRAČAR;LOKALNO;6900.00
1741850;Februar 2024;ČUKARICA;ZAMENA;213619.00
1741851;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741852;Februar 2024;ČUKARICA;LOKALNO;6900.00
1741853;Februar 2024;NOVI BEOGRAD;WOMA;35900.00
1741854;Februar 2024;ZEMUN;ZAMENA;73384.90
1741855;Februar 2024;ZVEZDARA;WOMA;57020.00
1741856;Februar 2024;STARI GRAD;ZAMENA;23635.00
1741857;Februar 2024;NOVI BEOGRAD;WOMA;30900.00
1741858;Februar 2024;STARI GRAD;LOKALNO;6900.00
1741860;Februar 2024;NOVI BEOGRAD;ZAMENA;54956.00
1741863;Februar 2024;VRAČAR;KOPANJE;563473.50
1741867;Februar 2024;VRAČAR;WOMA;26000.00
1741868;Februar 2024;ZEMUN;LOKALNO;6900.00
1741871;Februar 2024;ZEMUN;LOKALNO;6900.00
1741873;Februar 2024;NOVI BEOGRAD;ZAMENA;119667.70
1741874;Februar 2024;ZEMUN;LOKALNO;6900.00
1741876;Februar 2024;RAKOVICA;WOMA;38900.00
1741880;Februar 2024;STARI GRAD;WOMA;65300.00
1741882;Februar 2024;PALILULA;WOMA;33500.00
1741886;Februar 2024;ZEMUN;LOKALNO;6900.00
1741887;Februar 2024;SAVSKI VENAC;WOMA;48900.00
1741892;Februar 2024;NOVI BEOGRAD;ZAMENA;19716.00
